openEuler Repo,Project Name,Required Version,Repo version,Status
,python-manilaclient,2.6.0,,
python-sphinxcontrib-httpdomain,sphinxcontrib-httpdomain,1.7.0,1.7.0,OK
python-heatclient,python-heatclient,2.3.0,2.2.1,Need Upgrade
python-sphinxcontrib-svg2pdfconverter,sphinxcontrib-svg2pdfconverter,1.1.1,1.1.0,Need Upgrade
python-netmiko,netmiko,3.3.3,3.3.3,OK
,ntc-templates,2.1.0,,
python-textfsm,textfsm,1.1.2,1.1.0,Need Upgrade
future,future,0.18.2,0.16.0,Need Upgrade
python-paramiko,paramiko,2.7.2,2.7.2,OK
python-bcrypt,bcrypt,3.2.0,3.1.4,Need Upgrade
python-pynacl,pynacl,1.4.0,1.4.0,OK
python-pyserial,pyserial,3.5,,Need Init
python-scp,scp,0.13.5,0.13.2,Need Upgrade
python-tenacity,tenacity,7.0.0,6.3.1,Need Upgrade
python-mypy,mypy,0.812,0.800,Need Upgrade
,mypy-extensions,0.4.3,,
,typed-ast,1.4.3,,
,moto,2.0.1,,
python-boto3,boto3,1.17.102,1.16.17,Need Upgrade
python-s3transfer,s3transfer,0.4.2,0.3.0,Need Upgrade
python-mock,mock,4.0.3,4.0.3,OK
python-more-itertools,more-itertools,8.8.0,4.1.0,Need Upgrade
,responses,0.13.3,,
python-networkx,networkx,2.5.1,2.5,Need Upgrade
,flake8-logging-format,0.6.0,,
python-requests-mock,requests-mock,1.8.0,1.8.0,OK
python-scciclient,python-scciclient,0.8.0,0.8.1,Need Downgrade
python-swiftclient,python-swiftclient,3.11.1,3.10.1,Need Upgrade
,openstack-nose-plugin,0.11,,
python-termcolor,termcolor,1.1.0,1.1.0,OK
python-testresources,testresources,2.0.1,2.0.1,OK
pywbem,pywbem,1.1.3,0.12.4,Need Upgrade
,nocasedict,1.0.2,,
,nocaselist,1.0.4,,
,yamlloader,1.0.0,,
python-ldap,python-ldap,3.3.1,3.3.1,OK
python-pyasn1-modules,pyasn1-modules,0.2.8,0.2.8,OK
python-XStatic-Bootstrap-Datepicker,XStatic-Bootstrap-Datepicker,1.4.0.0,1.4.0.0,OK
python-castellan,castellan,3.7.1,3.6.0,Need Upgrade
,infi-dtypes-wwn,0.1.1,,
,python-ibmcclient,0.2.2,,
,whereto,0.4.0,,
python-microversion-parse,microversion-parse,1.0.1,1.0.1,OK
python-pyroute2,pyroute2,0.5.14,0.5.14,OK
python-semantic_version,semantic-version,2.8.5,2.6.0,Need Upgrade
,python-muranoclient,2.2.0,,
python-websockify,websockify,0.9.0,0.9.0,OK
numpy,numpy,1.21.0,1.16.5,Need Upgrade
python-ovsdbapp,ovsdbapp,1.9.0,1.7.0,Need Upgrade
,yamllint,1.23.0,,
python-pathspec,pathspec,0.8.1,0.8.0,Need Upgrade
,pypowervm,1.1.24,,
python-inotify,pyinotify,0.9.6,0.9.6,OK
python-automaton,automaton,2.3.0,2.2.0,Need Upgrade
python-cachetools,cachetools,4.2.2,4.1.1,Need Upgrade
python-futurist,futurist,2.3.0,2.3.0,OK
python-jsonschema,jsonschema,3.2.0,3.2.0,OK
python-pyrsistent,pyrsistent,0.18.0,0.16.0,Need Upgrade
python-pydot,pydot,1.4.2,1.4.1,Need Upgrade
python-flask-restful,flask-restful,0.3.9,0.3.8,Need Upgrade
python-aniso8601,aniso8601,9.0.1,8.1.0,Need Upgrade
,pytest-django,4.1.0,,
python-sphinxcontrib-issuetracker,sphinxcontrib-issuetracker,0.11,,Need Init
networking-baremetal,networking-baremetal,4.0.0,3.0.0,Need Upgrade
python-neutronclient,python-neutronclient,7.3.0,7.2.1,Need Upgrade
python-keystonemiddleware,keystonemiddleware,9.2.0,9.1.0,Need Upgrade
python-os-testr,os-testr,2.0.0,2.0.0,OK
,selenium,3.141.0,,
python-XStatic-Bootstrap-SCSS,XStatic-Bootstrap-SCSS,3.4.1.0,3.4.1.0,OK
python-flake8-import-order,flake8-import-order,0.18.1,,Need Init
,rsd-lib,1.2.0,,
pyxattr,xattr,0.9.7,0.7.2,Need Upgrade
python-gabbi,gabbi,2.2.0,2.1.0,Need Upgrade
python-jsonpath-rw-ext,jsonpath-rw-ext,1.2.2,1.2.2,OK
python-XStatic-Jasmine,XStatic-Jasmine,2.4.1.2,2.4.1.2,OK
python-oauthlib,oauthlib,3.1.0,3.1.0,OK
,sushy-oem-idrac,2.1.0,,
,keystone-tempest-plugin,0.7.0,,
python-ironic-lib,ironic-lib,4.6.1,4.4.0,Need Upgrade
python-XStatic-jquery-ui,XStatic-jquery-ui,1.12.1.1,1.12.1.1,OK
python-XStatic-jQuery,XStatic-jQuery,3.5.1.1,1.12.4.1,Need Upgrade
